creation_date,creation_time,fault_code,description,severity,cause,affected
2020-12-27,12:25:37.053,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:25:25.500,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 24 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,12:21:34.018,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 32 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:21:03.466,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 19 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:21:03.461,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:20:31.010,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:20:16.588,F96760,TCA: Egress Buffer Drop Packets rate(eqptEgrDropPkts5min:bufferRate) value 8 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-107/sys/phys-[eth1/11]
2020-12-27,12:16:27.985,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 31 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:16:11.603,F96760,TCA: Egress Buffer Drop Packets rate(eqptEgrDropPkts5min:bufferRate) value 33 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-107/sys/phys-[eth1/11]
2020-12-27,12:15:54.420,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 19 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:15:54.415,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:15:24.968,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:11:18.932,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 31 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:11:13.373,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 7 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,12:11:13.365,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 10 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
